id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-157277,2021-04-29,000001,Vente,170500,1,,RUE LE GOBIEN,5000,35400,35288,Saint-Malo,35,,,35288000AV0363,,,176,,,,,,,,,,1,2,Appartement,40,2,,,,,,-2.009626,48.645233
2021-157277,2021-04-29,000001,Vente,170500,2,,RUE YVELIN,9110,35400,35288,Saint-Malo,35,,,35288000AV0363,,,112,,,,,,,,,,1,3,Dépendance,,0,,,,,,-2.009626,48.645233
2021-157279,2021-04-07,000001,Vente en l'état futur d'achèvement,375000,37,,RUE DE L ETRIER,2970,35400,35288,Saint-Malo,35,,,35288000BO0072,,,69,,,,,,,,,,1,,,,,,,,,,-2.000833,48.64007
2021-157279,2021-04-07,000001,Vente en l'état futur d'achèvement,375000,37,,RUE DE L ETRIER,2970,35400,35288,Saint-Malo,35,,,35288000BO0072,,,66,,,,,,,,,,1,,,,,,,,,,-2.000833,48.64007
2021-157279,2021-04-07,000001,Vente en l'état futur d'achèvement,375000,37,,RUE DE L ETRIER,2970,35400,35288,Saint-Malo,35,,,35288000BO0072,,,131,,,,,,,,,,1,,,,,,,,,,-2.000833,48.64007
2021-157279,2021-04-07,000001,Vente en l'état futur d'achèvement,375000,37,,RUE DE L ETRIER,2970,35400,35288,Saint-Malo,35,,,35288000BO0072,,,68,,,,,,,,,,1,,,,,,,,,,-2.000833,48.64007
2021-157279,2021-04-07,000001,Vente en l'état futur d'achèvement,375000,37,,RUE DE L ETRIER,2970,35400,35288,Saint-Malo,35,,,35288000BO0072,,,79,,,,,,,,,,1,,,,,,,,,,-2.000833,48.64007
2021-157279,2021-04-07,000001,Vente en l'état futur d'achèvement,375000,37,,RUE DE L ETRIER,2970,35400,35288,Saint-Malo,35,,,35288000BO0072,,,67,,,,,,,,,,1,,,,,,,,,,-2.000833,48.64007
2021-157280,2021-04-09,000001,Vente,140000,22,,RUE PIERRE LEGAVRE,6550,35400,35288,Saint-Malo,35,,,35288000DA0075,,,35,,66,44.42,,,,,,,2,2,Appartement,45,1,,,,,,-1.982181,48.654905
2021-157281,2021-04-29,000001,Vente,262617.28,5,,AV DU QUEBEC,7170,35400,35288,Saint-Malo,35,,,352880000A0434,,,218,,,,,,,,,,1,2,Appartement,49,1,,,,,,-1.998047,48.658622
2021-157286,2021-04-29,000001,Vente,544138,4,B,RUE DU CLOS VERT,1875,35400,35288,Saint-Malo,35,,,35288000AP0383,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,1520,0,S,sols,,,2256,-1.987855,48.641204
2021-157286,2021-04-29,000001,Vente,544138,4,B,RUE DU CLOS VERT,1875,35400,35288,Saint-Malo,35,,,35288000AP0384,,,,,,,,,,,,,0,,,,,S,sols,,,52,-1.98812,48.64135
2021-157286,2021-04-29,000001,Vente,544138,4,B,RUE DU CLOS VERT,1875,35400,35288,Saint-Malo,35,,,35288000AP0385,,,,,,,,,,,,,0,,,,,S,sols,,,35,-1.987478,48.641383
2021-157288,2021-04-30,000001,Vente,390000,43,,BD DOUVILLE,2560,35400,35288,Saint-Malo,35,,,35288000BP0406,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,110,0,S,sols,,,451,-2.007913,48.631005
2021-157288,2021-04-30,000001,Vente,390000,43,,BD DOUVILLE,2560,35400,35288,Saint-Malo,35,,,35288000BP0406,,,,,,,,,,,,,0,2,Appartement,55,3,S,sols,,,451,-2.007913,48.631005
